algo_name,thread,cache_mb,time,res
bfs_blocked,80,128,27241810,50000000
bfs_blocked,80,128,24409888,50000000
bfs_blocked,80,128,24724283,50000000
bfs_blocked,80,256,24784912,50000000
bfs_blocked,80,256,24752664,50000000
bfs_blocked,80,256,24358497,50000000
bfs_blocked,80,512,24728644,50000000
bfs_blocked,80,512,24353469,50000000
bfs_blocked,80,512,25108360,50000000
bfs_blocked,80,1024,26209780,50000000
bfs_blocked,80,1024,26054426,50000000
bfs_blocked,80,1024,25976885,50000000
bfs_blocked,80,2048,25707979,50000000
bfs_blocked,80,2048,25651341,50000000
bfs_blocked,80,2048,25453860,50000000
bfs_blocked,80,4096,25930303,50000000
bfs_blocked,80,4096,25889180,50000000
bfs_blocked,80,4096,25666718,50000000
bfs_blocked,80,8192,24609849,50000000
bfs_blocked,80,8192,24636828,50000000
bfs_blocked,80,8192,25182830,50000000
bfs_blocked,80,16384,25460215,50000000
bfs_blocked,80,16384,25488492,50000000
bfs_blocked,80,16384,24490183,50000000
bfs,80,128,130799114,50000000
bfs,80,128,131149632,50000000
bfs,80,128,130682444,50000000
bfs,80,256,128719809,50000000
bfs,80,256,128336693,50000000
bfs,80,256,128452891,50000000
bfs,80,512,124140752,50000000
bfs,80,512,123398767,50000000
bfs,80,512,123225981,50000000
bfs,80,1024,115392978,50000000
bfs,80,1024,115422037,50000000
bfs,80,1024,115526538,50000000
bfs,80,2048,98620531,50000000
bfs,80,2048,98583763,50000000
bfs,80,2048,98723085,50000000
bfs,80,4096,65743031,50000000
bfs,80,4096,65705983,50000000
bfs,80,4096,65642266,50000000
bfs,80,8192,16565498,50000000
bfs,80,8192,16406430,50000000
bfs,80,8192,16169864,50000000
bfs,80,16384,12521071,50000000
bfs,80,16384,12306064,50000000
bfs,80,16384,12196755,50000000
