algo_name,thread,cache_mb,time,res
bfs_blocked,80,128,39191337,65608366
bfs_blocked,80,128,36604766,65608366
bfs_blocked,80,128,36226312,65608366
bfs_blocked,80,256,36098545,65608366
bfs_blocked,80,256,36518009,65608366
bfs_blocked,80,256,36872127,65608366
bfs_blocked,80,512,36953133,65608366
bfs_blocked,80,512,37053125,65608366
bfs_blocked,80,512,36787639,65608366
bfs_blocked,80,1024,36378978,65608366
bfs_blocked,80,1024,36135085,65608366
bfs_blocked,80,1024,36072206,65608366
bfs_blocked,80,2048,35832439,65608366
bfs_blocked,80,2048,35784110,65608366
bfs_blocked,80,2048,35919979,65608366
bfs_blocked,80,4096,35869882,65608366
bfs_blocked,80,4096,35937001,65608366
bfs_blocked,80,4096,35929317,65608366
bfs_blocked,80,8192,35763174,65608366
bfs_blocked,80,8192,35791787,65608366
bfs_blocked,80,8192,35789082,65608366
bfs_blocked,80,16384,35782382,65608366
bfs_blocked,80,16384,35818822,65608366
bfs_blocked,80,16384,35680548,65608366
bfs,80,128,139783862,65608366
bfs,80,128,140970106,65608366
bfs,80,128,140559254,65608364
bfs,80,256,133919743,65608366
bfs,80,256,132634817,65608366
bfs,80,256,132572482,65608366
bfs,80,512,125332637,65608366
bfs,80,512,125188253,65608366
bfs,80,512,123397349,65608366
bfs,80,1024,109934025,65608366
bfs,80,1024,109953304,65608366
bfs,80,1024,110205446,65608366
bfs,80,2048,91470989,65608366
bfs,80,2048,92090080,65608366
bfs,80,2048,92323972,65608366
bfs,80,4096,69633434,65608366
bfs,80,4096,68467932,65608366
bfs,80,4096,69417649,65608366
bfs,80,8192,38034236,65608366
bfs,80,8192,38159736,65608366
bfs,80,8192,38355192,65608366
bfs,80,16384,21975629,65608366
bfs,80,16384,22536278,65608366
bfs,80,16384,22482134,65608366
