algo_name,thread,cache_mb,time,res
bfs_blocked,80,1,116649,1134890
bfs_blocked,80,1,99302,1134890
bfs_blocked,80,1,100319,1134890
bfs_blocked,80,2,101268,1134890
bfs_blocked,80,2,101122,1134890
bfs_blocked,80,2,99025,1134890
bfs_blocked,80,3,99732,1134890
bfs_blocked,80,3,101747,1134890
bfs_blocked,80,3,99413,1134890
bfs_blocked,80,4,97697,1134890
bfs_blocked,80,4,98720,1134890
bfs_blocked,80,4,93829,1134890
bfs_blocked,80,5,93915,1134890
bfs_blocked,80,5,93994,1134890
bfs_blocked,80,5,91240,1134890
bfs_blocked,80,10,90276,1134890
bfs_blocked,80,10,87818,1134890
bfs_blocked,80,10,89655,1134890
bfs_blocked,80,25,87924,1134890
bfs_blocked,80,25,88912,1134890
bfs_blocked,80,25,89840,1134890
bfs_blocked,80,50,86125,1134890
bfs_blocked,80,50,90828,1134890
bfs_blocked,80,50,90184,1134890
bfs,80,1,1110111,1134890
bfs,80,1,1176118,1134890
bfs,80,1,1232000,1134890
bfs,80,2,996549,1134890
bfs,80,2,1017637,1134890
bfs,80,2,1031042,1134890
bfs,80,3,859586,1134890
bfs,80,3,906009,1134890
bfs,80,3,909780,1134890
bfs,80,4,811403,1134890
bfs,80,4,785719,1134890
bfs,80,4,811294,1134890
bfs,80,5,744243,1134888
bfs,80,5,721717,1134890
bfs,80,5,737811,1134890
bfs,80,10,376710,1134890
bfs,80,10,409314,1134890
bfs,80,10,404604,1134890
bfs,80,25,312793,1134890
bfs,80,25,314234,1134890
bfs,80,25,312471,1134890
bfs,80,50,312613,1134890
bfs,80,50,313426,1134890
bfs,80,50,311006,1134890
