algo_name,thread,cache_mb,time,res
bfs_blocked,80,1,1970993,1087562
bfs_blocked,80,1,2045053,1087562
bfs_blocked,80,1,2050860,1087562
bfs_blocked,80,2,2081534,1087562
bfs_blocked,80,2,2132029,1087562
bfs_blocked,80,2,2191663,1087562
bfs_blocked,80,3,2254145,1087562
bfs_blocked,80,3,2274233,1087562
bfs_blocked,80,3,2306555,1087562
bfs_blocked,80,4,2350232,1087562
bfs_blocked,80,4,2387201,1087562
bfs_blocked,80,4,2409212,1087562
bfs_blocked,80,5,2450821,1087562
bfs_blocked,80,5,2516333,1087562
bfs_blocked,80,5,2544479,1087562
bfs_blocked,80,10,2548548,1087562
bfs_blocked,80,10,2520870,1087562
bfs_blocked,80,10,2562746,1087562
bfs_blocked,80,25,2567486,1087562
bfs_blocked,80,25,2561689,1087562
bfs_blocked,80,25,2586725,1087562
bfs_blocked,80,50,2601003,1087562
bfs_blocked,80,50,2619364,1087562
bfs_blocked,80,50,2660418,1087562
bfs,80,1,1057419,1087562
bfs,80,1,1070580,1087562
bfs,80,1,1058275,1087562
bfs,80,2,834120,1087562
bfs,80,2,855635,1087562
bfs,80,2,852363,1087562
bfs,80,3,752603,1087562
bfs,80,3,785294,1087562
bfs,80,3,764084,1087562
bfs,80,4,732155,1087562
bfs,80,4,755151,1087562
bfs,80,4,756643,1087562
bfs,80,5,720434,1087562
bfs,80,5,724492,1087562
bfs,80,5,729245,1087562
bfs,80,10,707443,1087562
bfs,80,10,709899,1087562
bfs,80,10,708216,1087562
bfs,80,25,690824,1087562
bfs,80,25,692469,1087562
bfs,80,25,692722,1087562
bfs,80,50,694650,1087562
bfs,80,50,688219,1087562
bfs,80,50,693622,1087562
