algo_name,thread,cache_mb,time,res
bfs_blocked,80,20,911485,4843953
bfs_blocked,80,20,867667,4843953
bfs_blocked,80,20,867827,4843953
bfs_blocked,80,40,869908,4843953
bfs_blocked,80,40,862807,4843953
bfs_blocked,80,40,857329,4843953
bfs_blocked,80,60,855513,4843953
bfs_blocked,80,60,850232,4843953
bfs_blocked,80,60,855097,4843953
bfs_blocked,80,80,873505,4843953
bfs_blocked,80,80,870745,4843953
bfs_blocked,80,80,858557,4843953
bfs_blocked,80,100,866656,4843953
bfs_blocked,80,100,860218,4843953
bfs_blocked,80,100,861072,4843953
bfs_blocked,80,200,849140,4843953
bfs_blocked,80,200,852921,4843953
bfs_blocked,80,200,859669,4843953
bfs_blocked,80,500,854021,4843953
bfs_blocked,80,500,855514,4843953
bfs_blocked,80,500,887643,4843953
bfs_blocked,80,1000,866963,4843953
bfs_blocked,80,1000,871788,4843953
bfs_blocked,80,1000,875642,4843953
bfs,80,20,6955654,4843953
bfs,80,20,7343778,4843953
bfs,80,20,7376510,4843953
bfs,80,40,6002236,4843953
bfs,80,40,6074926,4843953
bfs,80,40,6226065,4843953
bfs,80,60,5167712,4843953
bfs,80,60,5211811,4843953
bfs,80,60,5190564,4843953
bfs,80,80,4413572,4843953
bfs,80,80,4427281,4843953
bfs,80,80,4455302,4843953
bfs,80,100,3924187,4843953
bfs,80,100,3824032,4843953
bfs,80,100,3807976,4843953
bfs,80,200,1878135,4843953
bfs,80,200,1839768,4843953
bfs,80,200,1869338,4843953
bfs,80,500,1589286,4843953
bfs,80,500,1598988,4843953
bfs,80,500,1589462,4843953
bfs,80,1000,1600479,4843953
bfs,80,1000,1587425,4843953
bfs,80,1000,1594680,4843953
