algo_name,thread,cache_mb,time,res
bfs_blocked,80,128,26413605,52515193
bfs_blocked,80,128,24606099,52515193
bfs_blocked,80,128,24535395,52515193
bfs_blocked,80,256,24816393,52515193
bfs_blocked,80,256,24721976,52515193
bfs_blocked,80,256,24867566,52515193
bfs_blocked,80,512,25266956,52515193
bfs_blocked,80,512,24777408,52515193
bfs_blocked,80,512,24813949,52515193
bfs_blocked,80,1024,24930764,52515193
bfs_blocked,80,1024,24687855,52515193
bfs_blocked,80,1024,24613598,52515193
bfs_blocked,80,2048,24363431,52515193
bfs_blocked,80,2048,24701508,52515193
bfs_blocked,80,2048,25149211,52515193
bfs_blocked,80,4096,24954556,52515193
bfs_blocked,80,4096,24361611,52515193
bfs_blocked,80,4096,24832588,52515193
bfs_blocked,80,8192,24787948,52515193
bfs_blocked,80,8192,24548971,52515193
bfs_blocked,80,8192,24157914,52515193
bfs_blocked,80,16384,24731429,52515193
bfs_blocked,80,16384,24925248,52515193
bfs_blocked,80,16384,24897669,52515193
bfs,80,128,138720955,52515193
bfs,80,128,143898761,52515193
bfs,80,128,140226295,52515193
bfs,80,256,138055082,52515193
bfs,80,256,140200903,52515193
bfs,80,256,136571478,52515193
bfs,80,512,130038378,52515193
bfs,80,512,126936032,52515193
bfs,80,512,123971869,52515193
bfs,80,1024,113563236,52515193
bfs,80,1024,109584012,52515193
bfs,80,1024,112198481,52515193
bfs,80,2048,93617453,52515193
bfs,80,2048,91881951,52515193
bfs,80,2048,89570226,52515193
bfs,80,4096,79505806,52515193
bfs,80,4096,83335013,52515193
bfs,80,4096,81292179,52515193
bfs,80,8192,52607451,52515193
bfs,80,8192,46712885,52515193
bfs,80,8192,50868266,52515193
bfs,80,16384,48691324,52515193
bfs,80,16384,48333926,52515193
bfs,80,16384,52262216,52515193
