algo_name,thread,cache_mb,time,res
bfs,0,128,41566908,0
bfs,0,128,29321192,0
bfs,0,128,30106638,0
bfs,0,256,29892305,0
bfs,0,256,28796426,0
bfs,0,256,29129181,0
bfs,0,512,29802142,0
bfs,0,512,29280033,0
bfs,0,512,28467687,0
bfs,0,1024,27281413,0
bfs,0,1024,27720306,0
bfs,0,1024,27371738,0
bfs,0,2048,27621121,0
bfs,0,2048,27445832,0
bfs,0,2048,28144017,0
bfs,0,4096,26951467,0
bfs,0,4096,27500099,0
bfs,0,4096,27001423,0
bfs,0,8192,26963746,0
bfs,0,8192,27498332,0
bfs,0,8192,27284592,0
bfs,0,16384,23581633,0
bfs,0,16384,24674529,0
bfs,0,16384,23972635,0
