algo_name,thread,cache_mb,time,res
bfs,0,128,127688920,0
bfs,0,128,127051312,0
bfs,0,128,126560266,0
bfs,0,256,124834453,0
bfs,0,256,126171699,0
bfs,0,256,125791867,0
bfs,0,512,125489467,0
bfs,0,512,123977352,0
bfs,0,512,124513277,0
bfs,0,1024,123604810,0
bfs,0,1024,123844014,0
bfs,0,1024,124014906,0
bfs,0,2048,123915480,0
bfs,0,2048,123610489,0
bfs,0,2048,122990249,0
bfs,0,4096,123481219,0
bfs,0,4096,123614664,0
bfs,0,4096,123657813,0
bfs,0,8192,120436313,0
bfs,0,8192,121009490,0
bfs,0,8192,120469651,0
bfs,0,16384,112535370,0
bfs,0,16384,112859388,0
bfs,0,16384,113444109,0
bfs,0,32768,11287483,0
bfs,0,32768,9950576,0
bfs,0,32768,9878489,0
