algo_name,thread,cache_mb,time,res
bfs,0,20,3976592,0
bfs,0,20,3921097,0
bfs,0,20,3962875,0
bfs,0,40,3799862,0
bfs,0,40,3814369,0
bfs,0,40,3828931,0
bfs,0,60,3858184,0
bfs,0,60,3882397,0
bfs,0,60,3881718,0
bfs,0,80,3879340,0
bfs,0,80,3902761,0
bfs,0,80,3892118,0
bfs,0,100,3935200,0
bfs,0,100,3969315,0
bfs,0,100,3903363,0
bfs,0,200,3967424,0
bfs,0,200,3880490,0
bfs,0,200,3929655,0
bfs,0,500,3690381,0
bfs,0,500,3556209,0
bfs,0,500,3561166,0
bfs,0,1000,980747,0
bfs,0,1000,1225551,0
bfs,0,1000,892579,0
