algo_name,thread,cache_mb,time,init_time,res,system
bfs,8,128,109214879.00000001,4908803.0,0,Mosaic
bfs,8,128,106495136.99999999,4764182.0,0,Mosaic
bfs,8,128,106953824.0,4481333.0,0,Mosaic
bfs,8,256,107770646.0,4457370.0,0,Mosaic
bfs,8,256,109348078.00000001,4666675.0,0,Mosaic
bfs,8,256,109115605.0,4533059.0,0,Mosaic
bfs,8,512,111444601.0,4522562.0,0,Mosaic
bfs,8,512,110989627.0,4510997.0,0,Mosaic
bfs,8,512,110053853.0,4462551.0,0,Mosaic
bfs,8,1024,113673577.0,4480870.0,0,Mosaic
bfs,8,1024,113500012.99999999,4455803.0,0,Mosaic
bfs,8,1024,112897581.0,4528159.0,0,Mosaic
bfs,8,2048,114239103.0,4513818.0,0,Mosaic
bfs,8,2048,114024895.0,4469839.0,0,Mosaic
bfs,8,2048,115368525.0,4489316.0,0,Mosaic
bfs,8,4096,116858814.00000001,4522910.0,0,Mosaic
bfs,8,4096,117138483.99999999,4464167.0,0,Mosaic
bfs,8,4096,116139571.0,4554124.0,0,Mosaic
bfs,8,8192,118662640.0,4475061.0,0,Mosaic
bfs,8,8192,117499651.99999999,4487041.0,0,Mosaic
bfs,8,8192,117113576.0,4456780.0,0,Mosaic
bfs,8,16384,120121122.99999999,4508326.0,0,Mosaic
bfs,8,16384,118691624.99999999,4544100.0,0,Mosaic
bfs,8,16384,118994516.0,4494425.0,0,Mosaic
