algo_name,thread,cache_mb,time,init_time,res,system
bfs,8,128,179262318.0,4584138.0,0,Mosaic
bfs,8,128,224597015.0,4174872.9999999995,0,Mosaic
bfs,8,128,181259846.99999994,4185175.0,0,Mosaic
bfs,8,256,182667003.99999997,4376817.0,0,Mosaic
bfs,8,256,182847615.99999997,4580618.0,0,Mosaic
bfs,8,256,184522424.99999997,4225761.0,0,Mosaic
bfs,8,512,186562244.0,4450169.0,0,Mosaic
bfs,8,512,185334792.00000003,4230639.0,0,Mosaic
bfs,8,512,185087350.99999997,4240594.0,0,Mosaic
bfs,8,1024,188080046.00000003,4244575.0,0,Mosaic
bfs,8,1024,189051864.00000003,4194352.0,0,Mosaic
bfs,8,1024,186505764.99999997,4521567.0,0,Mosaic
bfs,8,2048,190039756.0,4266461.0,0,Mosaic
bfs,8,2048,189707746.99999997,4280972.0,0,Mosaic
bfs,8,2048,192068737.00000003,4226077.0,0,Mosaic
bfs,8,4096,192384360.0,4242865.0,0,Mosaic
bfs,8,4096,195053769.00000003,4273727.0,0,Mosaic
bfs,8,4096,193638665.0,4232706.0,0,Mosaic
bfs,8,8192,198163397.00000003,4259929.0,0,Mosaic
bfs,8,8192,196904783.99999997,4228372.0,0,Mosaic
bfs,8,8192,197056197.0,4222181.0,0,Mosaic
bfs,8,16384,200076421.0,4264852.0,0,Mosaic
bfs,8,16384,199925301.99999997,4146403.0000000005,0,Mosaic
bfs,8,16384,198156234.00000003,4250820.0,0,Mosaic
