algo_name,thread,cache_mb,time,init_time,res,system
bfs,8,20,4349636.0,1228276.0,0,Mosaic
bfs,8,20,4263808.0,1202934.0,0,Mosaic
bfs,8,20,4341736.999999999,1241266.0,0,Mosaic
bfs,8,40,4501032.999999999,1212921.0,0,Mosaic
bfs,8,40,4479014.999999999,1199317.0,0,Mosaic
bfs,8,40,4435040.0,1194903.0,0,Mosaic
bfs,8,60,4537288.0,1216365.0,0,Mosaic
bfs,8,60,4553172.0,1198361.0,0,Mosaic
bfs,8,60,4479820.000000001,1194518.0,0,Mosaic
bfs,8,80,4660664.999999999,1185536.0,0,Mosaic
bfs,8,80,4630891.999999998,1212831.0,0,Mosaic
bfs,8,80,4569965.999999999,1200097.0,0,Mosaic
bfs,8,100,4733285.000000001,1256473.0,0,Mosaic
bfs,8,100,4693424.0,1197085.0,0,Mosaic
bfs,8,100,4718145.0,1208301.0,0,Mosaic
bfs,8,200,4856641.0,1207707.0,0,Mosaic
bfs,8,200,4793685.000000001,1185206.0,0,Mosaic
bfs,8,200,4931496.999999999,1213471.0,0,Mosaic
bfs,8,500,4945433.999999999,1189230.0,0,Mosaic
bfs,8,500,5002440.000000001,1209877.0,0,Mosaic
bfs,8,500,4908375.000000001,1229624.0,0,Mosaic
bfs,8,1000,5018494.999999999,1207979.0,0,Mosaic
bfs,8,1000,5032324.000000001,1190435.0,0,Mosaic
bfs,8,1000,5058991.000000001,1203584.0,0,Mosaic
