algo_name,thread,cache_mb,time,init_time,res,system
bfs,8,128,68619879.99999997,2900784.0,0,Mosaic
bfs,8,128,68924188.00000001,2964480.0,0,Mosaic
bfs,8,128,69006509.0,2964745.0,0,Mosaic
bfs,8,256,69549299.00000003,3020475.0,0,Mosaic
bfs,8,256,69739574.0,3049937.0,0,Mosaic
bfs,8,256,69832146.00000001,3104818.0,0,Mosaic
bfs,8,512,70860934.00000001,3001892.0,0,Mosaic
bfs,8,512,70256685.00000001,3046378.0,0,Mosaic
bfs,8,512,69571555.00000001,2960723.0,0,Mosaic
bfs,8,1024,70982857.0,3048880.0,0,Mosaic
bfs,8,1024,70867350.99999999,3043198.0,0,Mosaic
bfs,8,1024,70053006.00000001,3074526.0,0,Mosaic
bfs,8,2048,70576095.99999999,3025127.0,0,Mosaic
bfs,8,2048,70816176.0,3152210.0,0,Mosaic
bfs,8,2048,71387722.0,2960447.0,0,Mosaic
bfs,8,4096,71648546.99999999,2938788.0,0,Mosaic
bfs,8,4096,72146866.0,3176952.0,0,Mosaic
bfs,8,4096,71443772.00000001,3062577.0,0,Mosaic
bfs,8,8192,71459441.0,3036305.0,0,Mosaic
bfs,8,8192,72172610.00000001,2994927.0,0,Mosaic
bfs,8,8192,71438425.0,3065298.0,0,Mosaic
bfs,8,16384,72578097.0,3047196.0,0,Mosaic
bfs,8,16384,72954427.0,3049666.0,0,Mosaic
bfs,8,16384,72258580.99999999,3018105.0,0,Mosaic
