algo_name,thread,cache_mb,time,res
bfs_blocked,80,128,33053902,65608366
bfs_blocked,80,128,30408315,65608366
bfs_blocked,80,128,29836921,65608366
bfs_blocked,80,256,30539121,65608366
bfs_blocked,80,256,30525139,65608366
bfs_blocked,80,256,30692782,65608366
bfs_blocked,80,512,29497398,65608366
bfs_blocked,80,512,29106098,65608366
bfs_blocked,80,512,29580877,65608366
bfs_blocked,80,1024,30175442,65608366
bfs_blocked,80,1024,30233366,65608366
bfs_blocked,80,1024,30362911,65608366
bfs_blocked,80,2048,28545548,65608366
bfs_blocked,80,2048,28870175,65608366
bfs_blocked,80,2048,28726936,65608366
bfs_blocked,80,4096,28537543,65608366
bfs_blocked,80,4096,27622949,65608366
bfs_blocked,80,4096,26908235,65608366
bfs_blocked,80,8192,25005835,65608366
bfs_blocked,80,8192,24699740,65608366
bfs_blocked,80,8192,24726220,65608366
bfs_blocked,80,16384,22962514,65608366
bfs_blocked,80,16384,22857371,65608366
bfs_blocked,80,16384,22743986,65608366
bfs,80,128,99973198,65608366
bfs,80,128,98486024,65608366
bfs,80,128,98666289,65608366
bfs,80,256,89599120,65608366
bfs,80,256,89722182,65608366
bfs,80,256,88825230,65608366
bfs,80,512,86700145,65608366
bfs,80,512,86723144,65608366
bfs,80,512,86928562,65608366
bfs,80,1024,71701458,65608355
bfs,80,1024,73408021,65608366
bfs,80,1024,71654366,65608366
bfs,80,2048,62839917,65608366
bfs,80,2048,62650427,65608366
bfs,80,2048,62928963,65608366
bfs,80,4096,47909543,65608366
bfs,80,4096,47628668,65608366
bfs,80,4096,48449473,65608366
bfs,80,8192,28555416,65608366
bfs,80,8192,28902694,65608366
bfs,80,8192,28580935,65608365
bfs,80,16384,20444677,65608366
bfs,80,16384,20548289,65608366
bfs,80,16384,20500941,65608366
