algo_name,thread,cache_mb,time,res
bfs,0,128,108718475,0
bfs,0,128,108700965,0
bfs,0,128,108909717,0
bfs,0,256,108594116,0
bfs,0,256,108454604,0
bfs,0,256,108350134,0
bfs,0,512,107489976,0
bfs,0,512,107701165,0
bfs,0,512,104596308,0
bfs,0,1024,107423583,0
bfs,0,1024,107236787,0
bfs,0,1024,107084537,0
bfs,0,2048,106610178,0
bfs,0,2048,106126366,0
bfs,0,2048,106246911,0
bfs,0,4096,106091215,0
bfs,0,4096,106346635,0
bfs,0,4096,106155567,0
bfs,0,8192,104657886,0
bfs,0,8192,104715877,0
bfs,0,8192,104533978,0
bfs,0,16384,98482619,0
bfs,0,16384,98400582,0
bfs,0,16384,97780552,0
