algo_name,thread,cache_mb,time,res
bfs_blocked,80,128,124367524,65608366
bfs_blocked,80,128,121769508,65608366
bfs_blocked,80,128,121997305,65608366
bfs_blocked,80,256,121899569,65608366
bfs_blocked,80,256,121840562,65608366
bfs_blocked,80,256,121970762,65608366
bfs_blocked,80,512,121790894,65608366
bfs_blocked,80,512,121842179,65608366
bfs_blocked,80,512,121952726,65608366
bfs_blocked,80,1024,121802957,65608366
bfs_blocked,80,1024,121744476,65608366
bfs_blocked,80,1024,127007282,65608366
bfs_blocked,80,2048,127463887,65608366
bfs_blocked,80,2048,127009985,65608366
bfs_blocked,80,2048,126993853,65608366
bfs_blocked,80,4096,127368869,65608366
bfs_blocked,80,4096,120767808,65608366
bfs_blocked,80,4096,118505866,65608366
bfs_blocked,80,8192,120989775,65608366
bfs_blocked,80,8192,121067245,65608366
bfs_blocked,80,8192,120808136,65608366
bfs_blocked,80,16384,121072442,65608366
bfs_blocked,80,16384,120753949,65608366
bfs_blocked,80,16384,121377789,65608366
