algo_name,thread,cache_mb,time,res
bfs,80,128,684064625,65608366
bfs,80,128,683220031,65608366
bfs,80,128,684207570,65608366
bfs,80,256,644945714,65608366
bfs,80,256,643557791,65608366
bfs,80,256,646935162,65608366
bfs,80,512,595337535,65608366
bfs,80,512,592650341,65608366
bfs,80,512,595407389,65608366
bfs,80,1024,511449223,65608366
bfs,80,1024,510198677,65608366
bfs,80,1024,510365373,65608366
bfs,80,2048,407163477,65608366
bfs,80,2048,406409736,65608366
bfs,80,2048,408979528,65608366
bfs,80,4096,283791691,65608366
bfs,80,4096,284779021,65608366
bfs,80,4096,285064528,65608366
bfs,80,8192,146417804,65608366
bfs,80,8192,145088679,65608366
bfs,80,8192,145339436,65608366
bfs,80,16384,59796121,65608366
bfs,80,16384,60044798,65608366
bfs,80,16384,59454722,65608366
