algo_name,thread,cache_mb,time,res
bfs,0,128,634673379,0
bfs,0,128,495703519,0
bfs,0,128,496626367,0
bfs,0,256,496298069,0
bfs,0,256,489821928,0
bfs,0,256,486825247,0
bfs,0,512,484484998,0
bfs,0,512,483106712,0
bfs,0,512,484557102,0
bfs,0,1024,487958526,0
bfs,0,1024,487271202,0
bfs,0,1024,486995606,0
bfs,0,2048,482161329,0
bfs,0,2048,484547156,0
bfs,0,2048,488845088,0
bfs,0,4096,479477567,0
bfs,0,4096,484119082,0
bfs,0,4096,481999711,0
bfs,0,8192,479228093,0
bfs,0,8192,474974692,0
bfs,0,8192,477865160,0
bfs,0,16384,452444368,0
bfs,0,16384,448662020,0
bfs,0,16384,446717799,0
