algo_name,thread,cache_mb,time,res
dfs,1,4096,355348503,65608366
dfs,1,4096,339749537,65608366
dfs,1,4096,343406801,65608366
dfs,2,4096,188049883,65608366
dfs,2,4096,187896814,65608366
dfs,2,4096,192342726,65608366
dfs,4,4096,103282896,65608366
dfs,4,4096,102532262,65608366
dfs,4,4096,104796838,65608366
dfs,8,4096,62479398,65608366
dfs,8,4096,64423924,65608366
dfs,8,4096,68585282,65608366
dfs,16,4096,44457841,65608366
dfs,16,4096,44077048,65608366
dfs,16,4096,46120168,65608366
dfs,32,4096,39948480,65608366
dfs,32,4096,42517112,65608366
dfs,32,4096,41020713,65608366
dfs,64,4096,47768084,65608366
dfs,64,4096,47519014,65608366
dfs,64,4096,47996741,65608366
dfs,128,4096,48453352,65608366
dfs,128,4096,49593461,65608366
dfs,128,4096,48574166,65608366
