algo_name,thread,cache_mb,time,res
dfs,1,4096,2453588967,65608366
dfs,1,4096,2567405137,65608366
dfs,1,4096,2419079158,65608366
dfs,2,4096,1233897818,65608366
dfs,2,4096,1234593924,65608366
dfs,2,4096,1226777915,65608366
dfs,4,4096,679779299,65608366
dfs,4,4096,681989626,65608366
dfs,4,4096,680678974,65608366
dfs,8,4096,428865308,65608366
dfs,8,4096,428735976,65608366
dfs,8,4096,428360362,65608366
dfs,16,4096,325696994,65608366
dfs,16,4096,325921588,65608366
dfs,16,4096,325734480,65608366
dfs,32,4096,287661317,65608366
dfs,32,4096,287966827,65608366
dfs,32,4096,287825550,65608366
dfs,64,4096,286251527,65608366
dfs,64,4096,286415796,65608366
dfs,64,4096,286314079,65608366
dfs,128,4096,286623734,65608366
dfs,128,4096,286801353,65608366
dfs,128,4096,286738381,65608366
