algo_name,thread,cache_mb,time,res
dfs,1,8,12450685,1134890
dfs,1,8,12785994,1134890
dfs,1,8,13149973,1134890
dfs,2,8,6910819,1134890
dfs,2,8,7052505,1134890
dfs,2,8,7198900,1134890
dfs,4,8,3912354,1134890
dfs,4,8,4000365,1134890
dfs,4,8,4034254,1134890
dfs,8,8,2221589,1134890
dfs,8,8,2250373,1134890
dfs,8,8,2203327,1134890
dfs,16,8,1239585,1134890
dfs,16,8,1275897,1134890
dfs,16,8,1280686,1134890
dfs,32,8,834163,1134890
dfs,32,8,845267,1134890
dfs,32,8,843614,1134890
dfs,64,8,642600,1134890
dfs,64,8,638013,1134890
dfs,64,8,655123,1134890
dfs,128,8,568232,1134890
dfs,128,8,565987,1134890
dfs,128,8,571607,1134890
