algo_name,thread,cache_mb,time,res
dfs,1,8,17859855,1134890
dfs,1,8,18178588,1134890
dfs,1,8,18474640,1134890
dfs,2,8,9522164,1134890
dfs,2,8,9630350,1134890
dfs,2,8,9760442,1134890
dfs,4,8,5519938,1134890
dfs,4,8,5552778,1134890
dfs,4,8,5638171,1134890
dfs,8,8,3421768,1134890
dfs,8,8,3398340,1134890
dfs,8,8,3422791,1134890
dfs,16,8,2516873,1134890
dfs,16,8,2542747,1134890
dfs,16,8,2568641,1134890
dfs,32,8,2111116,1134890
dfs,32,8,2121294,1134890
dfs,32,8,2146640,1134890
dfs,64,8,2165835,1134890
dfs,64,8,2149023,1134890
dfs,64,8,2169933,1134890
dfs,128,8,2177075,1134890
dfs,128,8,2168301,1134890
dfs,128,8,2186026,1134890
