algo_name,thread,cache_mb,time,res
dfs,1,4,763259,1087562
dfs,1,4,748190,1087562
dfs,1,4,744278,1087562
dfs,2,4,413207,1087562
dfs,2,4,414239,1087562
dfs,2,4,415742,1087562
dfs,4,4,242498,1087562
dfs,4,4,233465,1087562
dfs,4,4,244100,1087562
dfs,8,4,133315,1087562
dfs,8,4,147405,1087562
dfs,8,4,143882,1087562
dfs,16,4,100941,1087562
dfs,16,4,97397,1087562
dfs,16,4,117412,1087562
dfs,32,4,73032,1087562
dfs,32,4,70715,1087562
dfs,32,4,73078,1087562
dfs,64,4,81063,1087562
dfs,64,4,82270,1087562
dfs,64,4,84247,1087562
dfs,128,4,89673,1087561
dfs,128,4,88615,1087562
dfs,128,4,89880,1087562
