algo_name,thread,cache_mb,time,res
dfs,1,4,939232,1087562
dfs,1,4,923776,1087562
dfs,1,4,926643,1087562
dfs,2,4,591652,1087562
dfs,2,4,582582,1087562
dfs,2,4,589113,1087562
dfs,4,4,392948,1087562
dfs,4,4,407165,1087562
dfs,4,4,424459,1087562
dfs,8,4,274861,1087562
dfs,8,4,290170,1087562
dfs,8,4,282559,1087562
dfs,16,4,209359,1087562
dfs,16,4,238215,1087562
dfs,16,4,257704,1087562
dfs,32,4,218373,1087562
dfs,32,4,171589,1087562
dfs,32,4,193832,1087562
dfs,64,4,187949,1087562
dfs,64,4,157868,1087562
dfs,64,4,199255,1087562
dfs,128,4,111987,1087562
dfs,128,4,139243,1087562
dfs,128,4,127747,1087562
