algo_name,thread,cache_mb,time,res
dfs,1,64,129781445,4843953
dfs,1,64,132743717,4843953
dfs,1,64,135457186,4843953
dfs,2,64,70079290,4843953
dfs,2,64,71362286,4843953
dfs,2,64,72509689,4843953
dfs,4,64,38257922,4843953
dfs,4,64,38783357,4843953
dfs,4,64,38975217,4843953
dfs,8,64,21232100,4843953
dfs,8,64,21504151,4843953
dfs,8,64,21654107,4843953
dfs,16,64,12319307,4843953
dfs,16,64,12454832,4843953
dfs,16,64,12534549,4843953
dfs,32,64,7983797,4843953
dfs,32,64,8034176,4843953
dfs,32,64,7862538,4843953
dfs,64,64,5495697,4843953
dfs,64,64,5533054,4843953
dfs,64,64,5566909,4843953
dfs,128,64,4799853,4843953
dfs,128,64,4813845,4843953
dfs,128,64,4835896,4843953
