algo_name,thread,cache_mb,time,res
dfs,1,64,185059623,4843953
dfs,1,64,186985143,4843953
dfs,1,64,189096762,4843953
dfs,2,64,96177251,4843953
dfs,2,64,96883828,4843953
dfs,2,64,97655574,4843953
dfs,4,64,55160518,4843953
dfs,4,64,55471106,4843953
dfs,4,64,55539781,4843953
dfs,8,64,35633183,4843953
dfs,8,64,35692750,4843953
dfs,8,64,35513188,4843953
dfs,16,64,27015703,4843953
dfs,16,64,27105457,4843953
dfs,16,64,27097000,4843953
dfs,32,64,23236489,4843953
dfs,32,64,23268622,4843953
dfs,32,64,23264112,4843953
dfs,64,64,23288505,4843953
dfs,64,64,23247392,4843953
dfs,64,64,23270631,4843953
dfs,128,64,23360135,4843953
dfs,128,64,23287987,4843953
dfs,128,64,23325812,4843953
