algo_name,thread,cache_mb,time,res
pagerank_blocked,80,1,461087,5.97
pagerank_blocked,80,1,451275,5.97
pagerank_blocked,80,1,450443,5.97
pagerank_blocked,80,2,433722,5.97
pagerank_blocked,80,2,432372,5.97
pagerank_blocked,80,2,429820,5.97
pagerank_blocked,80,3,435780,5.97
pagerank_blocked,80,3,434890,5.97
pagerank_blocked,80,3,435144,5.97
pagerank_blocked,80,4,427249,5.97
pagerank_blocked,80,4,424371,5.97
pagerank_blocked,80,4,426139,5.97
pagerank_blocked,80,5,430837,5.97
pagerank_blocked,80,5,429605,5.97
pagerank_blocked,80,5,429486,5.97
pagerank_blocked,80,10,369039,5.97
pagerank_blocked,80,10,369552,5.97
pagerank_blocked,80,10,367554,5.97
pagerank_blocked,80,25,247413,5.97
pagerank_blocked,80,25,249259,5.97
pagerank_blocked,80,25,245907,5.97
pagerank_blocked,80,50,249386,5.97
pagerank_blocked,80,50,249501,5.97
pagerank_blocked,80,50,252146,5.97
pagerank,80,1,1262382,5.97
pagerank,80,1,1285723,5.97
pagerank,80,1,1376188,5.97
pagerank,80,2,1033144,5.97
pagerank,80,2,1021149,5.97
pagerank,80,2,1055505,5.97
pagerank,80,3,957285,5.97
pagerank,80,3,932985,5.97
pagerank,80,3,949192,5.97
pagerank,80,4,1009417,5.97
pagerank,80,4,918723,5.97
pagerank,80,4,935568,5.97
pagerank,80,5,867917,5.97
pagerank,80,5,863300,5.97
pagerank,80,5,874127,5.97
pagerank,80,10,824048,5.97
pagerank,80,10,845394,5.97
pagerank,80,10,803351,5.97
pagerank,80,25,339819,5.97
pagerank,80,25,343608,5.97
pagerank,80,25,309996,5.97
pagerank,80,50,259015,5.97
pagerank,80,50,255536,5.97
pagerank,80,50,254948,5.97
