algo_name,thread,cache_mb,time,init_time,res,system
pagerank,8,2,430240.0,1219601.0,0,Mosaic
pagerank,8,2,439258.99999999994,1192982.0,0,Mosaic
pagerank,8,2,355451.0,1185187.0,0,Mosaic
pagerank,8,3,299370.0,1169539.0,0,Mosaic
pagerank,8,3,315043.0,1150704.0,0,Mosaic
pagerank,8,3,299638.99999999994,1161033.0,0,Mosaic
pagerank,8,4,292219.99999999994,1177315.0,0,Mosaic
pagerank,8,4,292966.0,1146741.0,0,Mosaic
pagerank,8,4,277635.99999999994,1138732.0,0,Mosaic
pagerank,8,5,264987.0,1135501.0,0,Mosaic
pagerank,8,5,270445.99999999994,1153328.0,0,Mosaic
pagerank,8,5,279296.99999999994,1152257.0,0,Mosaic
pagerank,8,10,257853.0,1136930.0,0,Mosaic
pagerank,8,10,267596.0,1161888.0,0,Mosaic
pagerank,8,10,252455.0,1142063.0,0,Mosaic
pagerank,8,25,273355.0,1168277.0,0,Mosaic
pagerank,8,25,265389.0,1147610.0,0,Mosaic
pagerank,8,25,271722.99999999994,1148843.0,0,Mosaic
pagerank,8,50,270467.00000000006,1217906.0,0,Mosaic
pagerank,8,50,282902.99999999994,1171065.0,0,Mosaic
pagerank,8,50,277984.0,1151132.0,0,Mosaic
