algo_name,thread,cache_mb,time,res
pagerank,0,1,1355283,0
pagerank,0,1,1635835,0
pagerank,0,1,1614601,0
pagerank,0,2,1064282,0
pagerank,0,2,1017717,0
pagerank,0,2,1078035,0
pagerank,0,3,854420,0
pagerank,0,3,945128,0
pagerank,0,3,817512,0
pagerank,0,4,885462,0
pagerank,0,4,832164,0
pagerank,0,4,852751,0
pagerank,0,5,814140,0
pagerank,0,5,861997,0
pagerank,0,5,876350,0
pagerank,0,10,705086,0
pagerank,0,10,702368,0
pagerank,0,10,720322,0
pagerank,0,25,713278,0
pagerank,0,25,679427,0
pagerank,0,25,701922,0
pagerank,0,50,470552,0
pagerank,0,50,492806,0
pagerank,0,50,565004,0
