algo_name,thread,cache_mb,time,res
pagerank,0,1,1181316,0
pagerank,0,1,1161592,0
pagerank,0,1,1145757,0
pagerank,0,2,658877,0
pagerank,0,2,650812,0
pagerank,0,2,649691,0
pagerank,0,3,433287,0
pagerank,0,3,459462,0
pagerank,0,3,431230,0
pagerank,0,4,454502,0
pagerank,0,4,440688,0
pagerank,0,4,434583,0
pagerank,0,5,453870,0
pagerank,0,5,479269,0
pagerank,0,5,459396,0
pagerank,0,10,307494,0
pagerank,0,10,401620,0
pagerank,0,10,384346,0
pagerank,0,25,219287,0
pagerank,0,25,219871,0
pagerank,0,25,183359,0
pagerank,0,50,250535,0
pagerank,0,50,167714,0
pagerank,0,50,167783,0
