algo_name,thread,cache_mb,time,res
pagerank_blocked,80,1,366977,1.12
pagerank_blocked,80,1,367932,1.12
pagerank_blocked,80,1,370831,1.12
pagerank_blocked,80,2,392964,1.12
pagerank_blocked,80,2,398779,1.12
pagerank_blocked,80,2,391932,1.12
pagerank_blocked,80,3,366848,1.12
pagerank_blocked,80,3,368534,1.12
pagerank_blocked,80,3,365058,1.12
pagerank_blocked,80,4,365347,1.12
pagerank_blocked,80,4,367557,1.12
pagerank_blocked,80,4,366580,1.12
pagerank_blocked,80,5,360619,1.12
pagerank_blocked,80,5,360723,1.12
pagerank_blocked,80,5,354838,1.12
pagerank_blocked,80,10,312583,1.12
pagerank_blocked,80,10,311677,1.12
pagerank_blocked,80,10,309311,1.12
pagerank_blocked,80,25,197577,1.12
pagerank_blocked,80,25,196637,1.12
pagerank_blocked,80,25,194883,1.12
pagerank_blocked,80,50,194670,1.12
pagerank_blocked,80,50,196334,1.12
pagerank_blocked,80,50,196951,1.12
pagerank,80,1,759560,1.12
pagerank,80,1,745657,1.12
pagerank,80,1,745925,1.12
pagerank,80,2,497048,1.12
pagerank,80,2,523998,1.12
pagerank,80,2,510994,1.12
pagerank,80,3,421963,1.12
pagerank,80,3,429666,1.12
pagerank,80,3,426222,1.12
pagerank,80,4,510255,1.12
pagerank,80,4,485316,1.12
pagerank,80,4,453008,1.12
pagerank,80,5,497680,1.12
pagerank,80,5,481945,1.12
pagerank,80,5,446733,1.12
pagerank,80,10,413291,1.12
pagerank,80,10,395287,1.12
pagerank,80,10,389093,1.12
pagerank,80,25,229899,1.12
pagerank,80,25,200792,1.12
pagerank,80,25,199460,1.12
pagerank,80,50,301419,1.12
pagerank,80,50,302136,1.12
pagerank,80,50,303832,1.12
