algo_name,thread,cache_mb,time,res
pagerank,0,20,5724714,0
pagerank,0,20,5600874,0
pagerank,0,20,5293535,0
pagerank,0,40,5206538,0
pagerank,0,40,5151380,0
pagerank,0,40,5274867,0
pagerank,0,60,4992259,0
pagerank,0,60,5221195,0
pagerank,0,60,5261559,0
pagerank,0,80,5118995,0
pagerank,0,80,5191387,0
pagerank,0,80,5264116,0
pagerank,0,100,5004696,0
pagerank,0,100,5179672,0
pagerank,0,100,4823013,0
pagerank,0,200,5224660,0
pagerank,0,200,5114850,0
pagerank,0,200,5182354,0
pagerank,0,500,5179111,0
pagerank,0,500,4834601,0
pagerank,0,500,4938454,0
pagerank,0,1000,3176731,0
pagerank,0,1000,3201765,0
pagerank,0,1000,3040955,0
