algo_name,thread,cache_mb,time,res
pagerank_blocked,80,20,3343891,5.39
pagerank_blocked,80,20,3318219,5.39
pagerank_blocked,80,20,3350137,5.39
pagerank_blocked,80,40,3198608,5.39
pagerank_blocked,80,40,3192413,5.39
pagerank_blocked,80,40,3191408,5.39
pagerank_blocked,80,60,3270164,5.39
pagerank_blocked,80,60,3264671,5.39
pagerank_blocked,80,60,3258723,5.39
pagerank_blocked,80,80,3146371,5.39
pagerank_blocked,80,80,3148649,5.39
pagerank_blocked,80,80,3137073,5.39
pagerank_blocked,80,100,3162046,5.39
pagerank_blocked,80,100,3167730,5.39
pagerank_blocked,80,100,3165492,5.39
pagerank_blocked,80,200,3174320,5.39
pagerank_blocked,80,200,3208419,5.39
pagerank_blocked,80,200,3223929,5.39
pagerank_blocked,80,500,3190943,5.39
pagerank_blocked,80,500,3221718,5.39
pagerank_blocked,80,500,3233564,5.39
pagerank_blocked,80,1000,3225578,5.39
pagerank_blocked,80,1000,3228315,5.39
pagerank_blocked,80,1000,3246144,5.39
pagerank,80,20,8751757,5.39
pagerank,80,20,8792741,5.39
pagerank,80,20,8848315,5.39
pagerank,80,40,7946612,5.39
pagerank,80,40,7995039,5.39
pagerank,80,40,8062771,5.39
pagerank,80,60,7637049,5.39
pagerank,80,60,7664357,5.39
pagerank,80,60,7699511,5.39
pagerank,80,80,7356869,5.39
pagerank,80,80,7381817,5.39
pagerank,80,80,7379140,5.39
pagerank,80,100,7348786,5.39
pagerank,80,100,7367910,5.39
pagerank,80,100,7378895,5.39
pagerank,80,200,6280137,5.39
pagerank,80,200,6291638,5.39
pagerank,80,200,6283444,5.39
pagerank,80,500,1316935,5.39
pagerank,80,500,1304890,5.39
pagerank,80,500,1311111,5.39
pagerank,80,1000,1522038,5.39
pagerank,80,1000,1511494,5.39
pagerank,80,1000,1498881,5.39
