algo_name,thread,cache_mb,time,init_time,res,system
pagerank,8,20,3027145.9999999995,1207786.0,0,Mosaic
pagerank,8,20,2958254.0,1233748.0,0,Mosaic
pagerank,8,20,3028961.0,1212851.0,0,Mosaic
pagerank,8,40,3146468.0,1204211.0,0,Mosaic
pagerank,8,40,3109497.9999999995,1201772.0,0,Mosaic
pagerank,8,40,3063395.0,1211313.0,0,Mosaic
pagerank,8,60,3197540.0000000005,1241602.0,0,Mosaic
pagerank,8,60,3167538.0000000005,1199481.0,0,Mosaic
pagerank,8,60,3163735.0,1181809.0,0,Mosaic
pagerank,8,80,3242372.000000001,1220374.0,0,Mosaic
pagerank,8,80,3301527.9999999995,1200472.0,0,Mosaic
pagerank,8,80,3331692.9999999995,1219658.0,0,Mosaic
pagerank,8,100,3373942.0,1231168.0,0,Mosaic
pagerank,8,100,3350055.0000000005,1175854.0,0,Mosaic
pagerank,8,100,3350465.9999999995,1198232.0,0,Mosaic
pagerank,8,200,3362318.0,1189314.0,0,Mosaic
pagerank,8,200,3321375.0000000005,1197701.0,0,Mosaic
pagerank,8,200,3388984.0,1211911.0,0,Mosaic
pagerank,8,500,3451807.0,1245309.0,0,Mosaic
pagerank,8,500,3481710.0,1226917.0,0,Mosaic
pagerank,8,500,3435488.000000001,1273796.0,0,Mosaic
pagerank,8,1000,3523832.0,1256843.0,0,Mosaic
pagerank,8,1000,3528738.0,1239138.0,0,Mosaic
pagerank,8,1000,3487362.000000001,1247527.0,0,Mosaic
