algo_name,thread,cache_mb,time,res
randomwalk,1,8,7349580,1134500
randomwalk,1,8,7397637,1134500
randomwalk,1,8,7409005,1134500
randomwalk,2,8,4930816,1134500
randomwalk,2,8,4664590,1134500
randomwalk,2,8,4624232,1134500
randomwalk,4,8,2780515,1134500
randomwalk,4,8,2715820,1134500
randomwalk,4,8,2681594,1134500
randomwalk,8,8,2026052,1134500
randomwalk,8,8,2003490,1134500
randomwalk,8,8,1911228,1134500
randomwalk,16,8,1629896,1134500
randomwalk,16,8,1644499,1134500
randomwalk,16,8,1636060,1134500
randomwalk,32,8,1804410,1134500
randomwalk,32,8,1808851,1134500
randomwalk,32,8,1808040,1134500
randomwalk,64,8,2352130,1134500
randomwalk,64,8,2345435,1134500
randomwalk,64,8,2350437,1134500
randomwalk,128,8,3590760,1134500
randomwalk,128,8,3582800,1134500
randomwalk,128,8,3611402,1134500
randomwalk,256,8,6365105,1134500
randomwalk,256,8,6094249,1134500
randomwalk,256,8,5983178,1134500
