algo_name,thread,cache_mb,time,res
randomwalk,1,8,93577888,1134500
randomwalk,1,8,91435093,1134500
randomwalk,1,8,86608012,1134500
randomwalk,2,8,48166738,1134500
randomwalk,2,8,48037987,1134500
randomwalk,2,8,49196825,1134500
randomwalk,4,8,31847777,1134500
randomwalk,4,8,30847867,1134500
randomwalk,4,8,31055221,1134500
randomwalk,8,8,22544967,1134500
randomwalk,8,8,22444707,1134500
randomwalk,8,8,22845632,1134500
randomwalk,16,8,18414891,1134500
randomwalk,16,8,18632014,1134500
randomwalk,16,8,18721296,1134500
randomwalk,32,8,18437925,1134500
randomwalk,32,8,18172425,1134500
randomwalk,32,8,18410857,1134500
randomwalk,64,8,23301176,1134500
randomwalk,64,8,23292700,1134500
randomwalk,64,8,21673237,1134500
randomwalk,128,8,26889768,1134500
randomwalk,128,8,30260151,1134500
randomwalk,128,8,30442178,1134500
randomwalk,256,8,49424412,1134500
randomwalk,256,8,49096494,1134500
randomwalk,256,8,49204763,1134500
