algo_name,thread,cache_mb,time,res
randomwalk,1,64,259569042,4847500
randomwalk,1,64,260829393,4847500
randomwalk,1,64,257576708,4847500
randomwalk,2,64,238037057,4847500
randomwalk,2,64,182364129,4847500
randomwalk,2,64,144836358,4847500
randomwalk,4,64,81522031,4847500
randomwalk,4,64,82019695,4847500
randomwalk,4,64,180696686,4847500
randomwalk,8,64,53678411,4847500
randomwalk,8,64,87687943,4847500
randomwalk,8,64,45708540,4847500
randomwalk,16,64,27895359,4847500
randomwalk,16,64,29511924,4847500
randomwalk,16,64,30638986,4847500
randomwalk,32,64,26973677,4847500
randomwalk,32,64,29081039,4847500
randomwalk,32,64,29866283,4847500
randomwalk,64,64,42323427,4847500
randomwalk,64,64,42153165,4847500
randomwalk,64,64,42549541,4847500
randomwalk,128,64,75405634,4847500
randomwalk,128,64,73628224,4847500
randomwalk,128,64,72708875,4847500
randomwalk,256,64,273548624,4847500
randomwalk,256,64,163489155,4847500
randomwalk,256,64,141754642,4847500
