algo_name,thread,cache_mb,time,res
randomwalk,1,64,386862012,4847500
randomwalk,1,64,390022167,4847500
randomwalk,1,64,394505149,4847500
randomwalk,2,64,204912952,4847500
randomwalk,2,64,198774369,4847500
randomwalk,2,64,200407322,4847500
randomwalk,4,64,117425812,4847500
randomwalk,4,64,117288029,4847500
randomwalk,4,64,117139662,4847500
randomwalk,8,64,80291063,4847500
randomwalk,8,64,83456441,4847500
randomwalk,8,64,79333201,4847500
randomwalk,16,64,62460685,4847500
randomwalk,16,64,62723152,4847500
randomwalk,16,64,63481043,4847500
randomwalk,32,64,63155050,4847500
randomwalk,32,64,63604122,4847500
randomwalk,32,64,65512444,4847500
randomwalk,64,64,83803876,4847500
randomwalk,64,64,82574501,4847500
randomwalk,64,64,85399122,4847500
randomwalk,128,64,125005264,4847500
randomwalk,128,64,128043887,4847500
randomwalk,128,64,127770628,4847500
randomwalk,256,64,215085775,4847500
randomwalk,256,64,214764934,4847500
randomwalk,256,64,216276869,4847500
