algo_name,thread,cache_mb,time,res
wcc_blocked,80,128,27385949,1
wcc_blocked,80,128,24449247,1
wcc_blocked,80,128,24463624,1
wcc_blocked,80,256,27905412,1
wcc_blocked,80,256,24813675,1
wcc_blocked,80,256,24635332,1
wcc_blocked,80,512,25623248,1
wcc_blocked,80,512,25718660,1
wcc_blocked,80,512,25505504,1
wcc_blocked,80,1024,25872795,1
wcc_blocked,80,1024,26385090,1
wcc_blocked,80,1024,26714887,1
wcc_blocked,80,2048,26229961,1
wcc_blocked,80,2048,26261201,1
wcc_blocked,80,2048,25709656,1
wcc_blocked,80,4096,25954426,1
wcc_blocked,80,4096,25939555,1
wcc_blocked,80,4096,25938292,1
wcc_blocked,80,8192,24689508,1
wcc_blocked,80,8192,24714080,1
wcc_blocked,80,8192,25722924,1
wcc_blocked,80,16384,25415002,1
wcc_blocked,80,16384,25258278,1
wcc_blocked,80,16384,24824331,1
wcc_blocked,80,32768,24787381,1
wcc_blocked,80,32768,24357409,1
wcc_blocked,80,32768,23528102,1
wcc,80,128,130476457,1
wcc,80,128,131390617,1
wcc,80,128,130936102,1
wcc,80,256,129273771,1
wcc,80,256,129276926,1
wcc,80,256,129021007,1
wcc,80,512,124927115,1
wcc,80,512,125166922,1
wcc,80,512,125433088,1
wcc,80,1024,116687277,1
wcc,80,1024,117897873,1
wcc,80,1024,116608742,1
wcc,80,2048,99723646,1
wcc,80,2048,99272247,1
wcc,80,2048,98557155,1
wcc,80,4096,65734380,1
wcc,80,4096,65766230,1
wcc,80,4096,65914731,1
wcc,80,8192,16085513,1
wcc,80,8192,16382147,1
wcc,80,8192,16058380,1
wcc,80,16384,14932232,1
wcc,80,16384,13483376,1
wcc,80,16384,12213580,1
wcc,80,32768,12151042,1
wcc,80,32768,11988348,1
wcc,80,32768,12235906,1
