algo_name,thread,cache_mb,time,res
wcc_blocked,80,128,39260322,1
wcc_blocked,80,128,36584504,1
wcc_blocked,80,128,36445402,1
wcc_blocked,80,256,36536541,1
wcc_blocked,80,256,36545852,1
wcc_blocked,80,256,37273102,1
wcc_blocked,80,512,37329918,1
wcc_blocked,80,512,37432437,1
wcc_blocked,80,512,37399003,1
wcc_blocked,80,1024,37268740,1
wcc_blocked,80,1024,37500429,1
wcc_blocked,80,1024,38214260,1
wcc_blocked,80,2048,38136578,1
wcc_blocked,80,2048,37616553,1
wcc_blocked,80,2048,37746133,1
wcc_blocked,80,4096,37335044,1
wcc_blocked,80,4096,36044771,1
wcc_blocked,80,4096,35163906,1
wcc_blocked,80,8192,33727834,1
wcc_blocked,80,8192,32993618,1
wcc_blocked,80,8192,32899535,1
wcc_blocked,80,16384,32332941,1
wcc_blocked,80,16384,32114105,1
wcc_blocked,80,16384,31894369,1
wcc,80,128,139268121,1
wcc,80,128,140832250,1
wcc,80,128,140769521,7
wcc,80,256,133268659,1
wcc,80,256,134163662,1
wcc,80,256,134439698,1
wcc,80,512,125170842,1
wcc,80,512,124617798,1
wcc,80,512,124660224,1
wcc,80,1024,110344215,1
wcc,80,1024,109917737,1
wcc,80,1024,111046602,1
wcc,80,2048,92265319,1
wcc,80,2048,91504692,4
wcc,80,2048,92357193,1
wcc,80,4096,69031962,1
wcc,80,4096,70579983,1
wcc,80,4096,68252274,1
wcc,80,8192,39453249,1
wcc,80,8192,37918334,1
wcc,80,8192,39660868,1
wcc,80,16384,22917647,1
wcc,80,16384,22445224,1
wcc,80,16384,22265986,1
