algo_name,thread,cache_mb,time,res
wcc_blocked,80,1,116567,1
wcc_blocked,80,1,107251,1
wcc_blocked,80,1,102614,1
wcc_blocked,80,2,104038,1
wcc_blocked,80,2,98434,1
wcc_blocked,80,2,94969,1
wcc_blocked,80,3,99450,1
wcc_blocked,80,3,97518,1
wcc_blocked,80,3,99525,1
wcc_blocked,80,4,95255,1
wcc_blocked,80,4,100907,1
wcc_blocked,80,4,102309,1
wcc_blocked,80,5,101424,1
wcc_blocked,80,5,96701,1
wcc_blocked,80,5,99385,1
wcc_blocked,80,10,88897,1
wcc_blocked,80,10,95598,1
wcc_blocked,80,10,94607,1
wcc_blocked,80,25,89935,1
wcc_blocked,80,25,94229,1
wcc_blocked,80,25,90624,1
wcc_blocked,80,50,91748,1
wcc_blocked,80,50,90902,1
wcc_blocked,80,50,90531,1
wcc,80,1,1037200,1
wcc,80,1,1119607,1
wcc,80,1,1186265,1
wcc,80,2,952890,1
wcc,80,2,999198,1
wcc,80,2,999989,1
wcc,80,3,849794,1
wcc,80,3,869463,1
wcc,80,3,874888,1
wcc,80,4,759395,1
wcc,80,4,800653,1
wcc,80,4,777152,1
wcc,80,5,696627,1
wcc,80,5,736529,1
wcc,80,5,696442,1
wcc,80,10,387894,1
wcc,80,10,381087,1
wcc,80,10,412839,1
wcc,80,25,319799,1
wcc,80,25,320983,1
wcc,80,25,320339,1
wcc,80,50,317938,1
wcc,80,50,316469,1
wcc,80,50,316244,1
