algo_name,thread,cache_mb,time,res
wcc_blocked,80,1,1808840,206
wcc_blocked,80,1,1824779,206
wcc_blocked,80,1,1897973,206
wcc_blocked,80,2,1967525,206
wcc_blocked,80,2,2020230,206
wcc_blocked,80,2,2075306,206
wcc_blocked,80,3,2127032,206
wcc_blocked,80,3,2157609,206
wcc_blocked,80,3,2190165,206
wcc_blocked,80,4,2257628,206
wcc_blocked,80,4,2319209,206
wcc_blocked,80,4,2373448,206
wcc_blocked,80,5,2393716,206
wcc_blocked,80,5,2438860,206
wcc_blocked,80,5,2445485,206
wcc_blocked,80,10,2465606,206
wcc_blocked,80,10,2506154,206
wcc_blocked,80,10,2515967,206
wcc_blocked,80,25,2528284,206
wcc_blocked,80,25,2551796,206
wcc_blocked,80,25,2544669,206
wcc_blocked,80,50,2581242,206
wcc_blocked,80,50,2655733,206
wcc_blocked,80,50,2674874,206
wcc,80,1,1121815,206
wcc,80,1,1136996,206
wcc,80,1,1141194,206
wcc,80,2,896188,206
wcc,80,2,904467,206
wcc,80,2,924268,206
wcc,80,3,827418,206
wcc,80,3,848246,206
wcc,80,3,831062,206
wcc,80,4,823343,206
wcc,80,4,826674,206
wcc,80,4,807895,206
wcc,80,5,794215,206
wcc,80,5,795575,206
wcc,80,5,810509,206
wcc,80,10,762628,206
wcc,80,10,755955,206
wcc,80,10,757795,206
wcc,80,25,744416,206
wcc,80,25,742934,206
wcc,80,25,742768,206
wcc,80,50,740387,206
wcc,80,50,735382,206
wcc,80,50,741477,206
