algo_name,thread,cache_mb,time,res
wcc_blocked,80,128,36558785,29529
wcc_blocked,80,128,35896684,29529
wcc_blocked,80,128,35262257,29529
wcc_blocked,80,256,35837851,29529
wcc_blocked,80,256,34805500,29529
wcc_blocked,80,256,34970908,29529
wcc_blocked,80,512,34930226,29529
wcc_blocked,80,512,35146004,29529
wcc_blocked,80,512,34530286,29529
wcc_blocked,80,1024,34621736,29529
wcc_blocked,80,1024,34943166,29529
wcc_blocked,80,1024,34676071,29529
wcc_blocked,80,2048,35827480,29529
wcc_blocked,80,2048,34607736,29529
wcc_blocked,80,2048,39010271,29529
wcc_blocked,80,4096,38982965,29529
wcc_blocked,80,4096,38968086,29529
wcc_blocked,80,4096,39062647,29529
wcc_blocked,80,8192,38366245,29529
wcc_blocked,80,8192,37295189,29529
wcc_blocked,80,8192,34407154,29529
wcc_blocked,80,16384,36448407,29529
wcc_blocked,80,16384,35439822,29529
wcc_blocked,80,16384,35109295,29529
wcc,80,128,155227980,29529
wcc,80,128,158483087,29529
wcc,80,128,153061617,29529
wcc,80,256,145274177,29529
wcc,80,256,151556703,29529
wcc,80,256,145913162,29529
wcc,80,512,136055633,29529
wcc,80,512,132589928,29529
wcc,80,512,136114928,29529
wcc,80,1024,118094320,29529
wcc,80,1024,127760448,29529
wcc,80,1024,124085498,29529
wcc,80,2048,105414467,29529
wcc,80,2048,110062787,29529
wcc,80,2048,98921403,29529
wcc,80,4096,87352413,29529
wcc,80,4096,88228112,29529
wcc,80,4096,95675556,29529
wcc,80,8192,63037661,29529
wcc,80,8192,62072937,29529
wcc,80,8192,56811746,29529
wcc,80,16384,60726612,29529
wcc,80,16384,60396458,29529
wcc,80,16384,57213299,29529
