algo_name,thread,cache_mb,time,res
wcc,0,128,15707160,0
wcc,0,128,15528821,0
wcc,0,128,15891819,0
wcc,0,256,15510462,0
wcc,0,256,16916832,0
wcc,0,256,15563574,0
wcc,0,512,15607879,0
wcc,0,512,15961252,0
wcc,0,512,16334978,0
wcc,0,1024,16316856,0
wcc,0,1024,15593716,0
wcc,0,1024,16012831,0
wcc,0,2048,16010727,0
wcc,0,2048,15922781,0
wcc,0,2048,16221294,0
wcc,0,4096,15888521,0
wcc,0,4096,16180936,0
wcc,0,4096,16351234,0
wcc,0,8192,16416897,0
wcc,0,8192,15925783,0
wcc,0,8192,16100377,0
wcc,0,16384,16004242,0
wcc,0,16384,16405987,0
wcc,0,16384,16302713,0
