algo_name,thread,cache_mb,time,res
wcc,0,128,91937269,0
wcc,0,128,72439542,0
wcc,0,128,78040268,0
wcc,0,256,66545556,0
wcc,0,256,67672831,0
wcc,0,256,94938885,0
wcc,0,512,69970834,0
wcc,0,512,66987401,0
wcc,0,512,68334558,0
wcc,0,1024,67645946,0
wcc,0,1024,66138590,0
wcc,0,1024,69239197,0
wcc,0,2048,65964641,0
wcc,0,2048,71362091,0
wcc,0,2048,68092130,0
wcc,0,4096,66491232,0
wcc,0,4096,65149081,0
wcc,0,4096,66010669,0
wcc,0,8192,61464831,0
wcc,0,8192,62440870,0
wcc,0,8192,66383014,0
wcc,0,16384,56492112,0
wcc,0,16384,56910913,0
wcc,0,16384,55560195,0
wcc,0,32768,8322501,0
wcc,0,32768,8077063,0
wcc,0,32768,7773987,0
