algo_name,thread,cache_mb,time,res
wcc,0,128,24901804,0
wcc,0,128,28812269,0
wcc,0,128,28960947,0
wcc,0,256,26328875,0
wcc,0,256,31849575,0
wcc,0,256,30281862,0
wcc,0,512,27232554,0
wcc,0,512,27882533,0
wcc,0,512,26813215,0
wcc,0,1024,28392540,0
wcc,0,1024,27486410,0
wcc,0,1024,26623565,0
wcc,0,2048,27485007,0
wcc,0,2048,30939870,0
wcc,0,2048,29631577,0
wcc,0,4096,27339834,0
wcc,0,4096,27537191,0
wcc,0,4096,31113942,0
wcc,0,8192,26461804,0
wcc,0,8192,30498441,0
wcc,0,8192,29532221,0
wcc,0,16384,28685187,0
wcc,0,16384,21226120,0
wcc,0,16384,20699837,0
